Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),Less than high school,Both sexes,5.964,4.524,7.404,,830,,5200,15.9,12.6,19.3,,16.2,12.8,19.6,,13.471,10.066,16.875,,83.233,79.077,87.39,,13.401,10.079,16.722,,0.514,0.378,0.65,,689,507,871,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),High school graduate,Both sexes,2.426,1.992,2.861,,1505,,22970,6.5,5.7,7.4,,6.6,5.7,7.4,,3.87,2.956,4.784,,58.783,51.476,66.09,,17.183,13.415,20.951,,0.659,0.504,0.814,,884,676,1091,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),Community college/Technical school/University certificate,Both sexes,0.957,0.782,1.131,,1415,,54165,2.6,2.2,3,,2.6,2.2,3,,-0.118,-0.602,0.366,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),University graduate [reference],Both sexes,1,,,,1395,,51735,2.7,2.4,3,,2.7,2.4,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),Less than high school,Males,5.459,3.825,7.093,,390,,2610,15.1,11.4,18.8,,15.4,11.7,19.2,,12.602,8.788,16.417,,81.681,75.921,87.442,,12.126,8.477,15.774,,0.47,0.322,0.619,,323,221,424,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),High school graduate,Males,2.297,1.8,2.795,,750,,11620,6.4,5.4,7.5,,6.5,5.5,7.5,,3.667,2.576,4.758,,56.473,47.172,65.774,,15.895,11.516,20.274,,0.617,0.433,0.8,,423,297,549,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),Community college/Technical school/University certificate,Males,0.973,0.758,1.187,,765,,27885,2.8,2.3,3.2,,2.7,2.3,3.2,,-0.077,-0.692,0.538,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),University graduate [reference],Males,1,,,,750,,26440,2.8,2.4,3.3,,2.8,2.4,3.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),Less than high school,Females,6.564,4.707,8.421,,435,,2585,16.7,12.5,21,,17.1,12.8,21.3,,14.466,10.225,18.707,,84.766,80.338,89.193,,14.787,10.503,19.071,,0.56,0.383,0.738,,367,251,483,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),High school graduate,Females,2.571,1.979,3.162,,750,,11355,6.6,5.6,7.7,,6.7,5.6,7.7,,4.084,2.94,5.227,,61.102,52.034,70.169,,18.571,13.645,23.497,,0.704,0.508,0.899,,461,334,589,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),Community college/Technical school/University certificate,Females,0.935,0.717,1.153,,640,,26275,2.4,2,2.9,,2.4,2,2.9,,-0.168,-0.747,0.412,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Education (household),University graduate [reference],Females,1,,,,650,,25290,2.6,2.2,3,,2.6,2.2,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Weak or no Census Metropolitan Influenced Zone,Both sexes,0.583,0.429,0.737,,380,,12705,3,2.2,3.7,,3,2.2,3.7,,-2.123,-2.974,-1.272,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Strong or moderate Census Metropolitan Influenced Zone,Both sexes,0.499,0.402,0.596,,850,,33650,2.5,2.1,3,,2.5,2.1,3,,-2.55,-3.198,-1.902,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Census Agglomerations,Both sexes,0.68,0.553,0.807,,1175,,33990,3.5,2.9,4,,3.5,2.9,4,,-1.629,-2.371,-0.887,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Other Census Metropolitan Areas [reference],Both sexes,1,,,,2735,,53720,5.1,4.6,5.6,,5.1,4.6,5.6,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Weak or no Census Metropolitan Influenced Zone,Males,0.525,0.36,0.69,,175,,6415,2.7,1.9,3.4,,2.7,1.9,3.4,,-2.41,-3.404,-1.416,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Strong or moderate Census Metropolitan Influenced Zone,Males,0.551,0.417,0.685,,490,,17400,2.8,2.3,3.3,,2.8,2.3,3.3,,-2.278,-3.146,-1.41,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Census Agglomerations,Males,0.69,0.538,0.842,,605,,17295,3.5,2.9,4.1,,3.5,2.9,4.1,,-1.574,-2.466,-0.683,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Other Census Metropolitan Areas [reference],Males,1,,,,1395,,27465,5.1,4.4,5.7,,5.1,4.4,5.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Weak or no Census Metropolitan Influenced Zone,Females,0.645,0.45,0.839,,205,,6295,3.3,2.3,4.3,,3.3,2.3,4.3,,-1.814,-2.857,-0.772,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Strong or moderate Census Metropolitan Influenced Zone,Females,0.443,0.34,0.546,,370,,16250,2.3,1.8,2.7,,2.3,1.8,2.7,,-2.843,-3.585,-2.1,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Census Agglomerations,Females,0.669,0.515,0.822,,570,,16705,3.4,2.8,4,,3.4,2.8,4,,-1.692,-2.589,-0.794,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Rural/urban geography,Other Census Metropolitan Areas [reference],Females,1,,,,1340,,26255,5.1,4.5,5.7,,5.1,4.5,5.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,Neither English nor French,Both sexes,11.173,7.301,15.045,,195,E,585,32.8,22.4,43.1,,47,31.1,63,,42.828,26.862,58.793,,91.05,87.923,94.177,,3.411,2.182,4.64,E,0.131,0.083,0.178,E,175,112,239,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,English and French,Both sexes,1.116,0.636,1.596,,100,E,2010,4.8,2.8,6.8,,4.7,2.7,6.7,,0.487,-1.51,2.485,,10.377,-29.851,50.605,,0.194,-0.598,0.986,E,0.007,-0.023,0.038,E,10,-30,50,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,French ,Both sexes,0.504,0.39,0.619,,685,,32560,2.1,1.7,2.6,,2.1,1.7,2.6,,-2.086,-2.642,-1.531,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,English [reference],Both sexes,1,,,,4170,,98915,4.2,3.9,4.5,,4.2,3.9,4.5,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,Neither English nor French,Males,11.789,8.677,14.901,,105,E,310,33.8,21.6,46,,50.3,37.1,63.4,,45.99,32.929,59.051,,91.518,89.319,93.716,,3.595,2.094,5.097,E,0.139,0.08,0.199,E,96,55,136,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,English and French,Males,0.971,0.433,1.51,,45,E,1065,4.1,1.8,6.5,,4.1,1.8,6.4,,-0.123,-2.421,2.176,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,French ,Males,0.504,0.375,0.632,,360,,16785,2.1,1.6,2.7,,2.1,1.6,2.7,,-2.116,-2.752,-1.48,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,English [reference],Males,1,,,,2150,,50405,4.3,3.9,4.7,,4.3,3.9,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,Neither English nor French,Females,10.726,5.178,16.274,,90,E,275,31.6,18.3,44.9,,44.6,21.7,67.5,,40.437,17.599,63.276,,90.677,85.46,95.894,,3.22,1.654,4.787,E,0.122,0.062,0.182,E,80,41,119,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,English and French,Females,1.287,0.653,1.92,,55,E,945,5.5,3,8,,5.3,2.8,7.9,,1.192,-1.388,3.771,,22.276,-17.138,61.69,,0.468,-0.522,1.458,E,0.018,-0.019,0.055,E,12,-13,36,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,French ,Females,0.503,0.359,0.646,,330,,15775,2.1,1.5,2.6,,2.1,1.6,2.6,,-2.068,-2.781,-1.354,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official language spoken,English [reference],Females,1,,,,2015,,48510,4.2,3.7,4.6,,4.2,3.7,4.6,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,Living alone,Both sexes,7.822,7.012,8.633,,45,E,40,100,100,100,,16.7,16.7,16.7,,14.589,14.37,14.808,,87.216,85.907,88.525,,0.694,0.336,1.052,E,0.027,0.013,0.04,E,36,18,54,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In single-parent family ,Both sexes,4.451,3.724,5.179,,2325,,25810,9,7.9,10.1,,9.5,8.4,10.7,,7.38,6.201,8.559,,77.534,73.911,81.157,,35.065,30.385,39.745,,1.345,1.125,1.565,,1803,1509,2098,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In a multigenerational household,Both sexes,0.365,0.14,0.59,,65,E,8395,0.7,0.3,1.2,,0.8,0.3,1.3,,-1.358,-1.877,-0.838,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In other living arrangements,Both sexes,3.117,2.435,3.798,,500,,6950,7.2,5.8,8.5,,6.7,5.3,8,,4.526,3.202,5.851,,67.916,60.957,74.874,,6.577,4.664,8.489,,0.252,0.181,0.324,,338,242,434,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In couple census family without children ,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In couple census family with children [reference],Both sexes,1,,,,1985,,92475,2.1,1.9,2.4,,2.1,1.9,2.4,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,Missing,Both sexes,21.774,13.531,30.017,E,235,,390,59.2,49.2,69.1,,46.6,29.3,63.9,E,44.422,27.152,61.693,E,95.407,93.57,97.244,E,4.299,2.947,5.65,,0.165,0.109,0.22,,221,147,295,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,Living alone,Males,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In single-parent family ,Males,4.804,3.886,5.722,,1245,,13135,9.5,8.1,10.9,,10,8.5,11.5,,7.948,6.441,9.455,,79.184,75.283,83.084,,36.962,31.715,42.209,,1.434,1.16,1.708,,983,795,1172,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In a multigenerational household,Males,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In other living arrangements,Males,2.94,2.088,3.791,,245,,3695,6.7,5,8.5,,6.1,4.5,7.8,,4.053,2.412,5.694,,65.985,55.698,76.273,,6.185,3.763,8.606,,0.24,0.145,0.335,,165,99,230,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In couple census family with children [reference],Males,1,,,,990,,47250,2.1,1.8,2.3,,2.1,1.8,2.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,Missing,Males,23.017,13.599,32.435,,130,E,210,63.5,51.3,75.7,,48.1,29.1,67,,46.003,27.069,64.936,,95.655,93.854,97.457,,4.689,3.111,6.267,E,0.182,0.118,0.246,E,125,81,169,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,Living alone,Females,7.646,6.639,8.652,,25,E,25,100,100,100,,16.7,16.7,16.7,,14.539,14.255,14.824,,86.921,85.219,88.623,,0.822,0.329,1.314,E,0.031,0.013,0.049,E,20,8,32,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In single-parent family ,Females,4.106,3.308,4.905,,1080,,12680,8.6,7.3,9.8,,9,7.7,10.3,,6.795,5.49,8.101,,75.646,70.877,80.415,,33.033,27.233,38.834,,1.252,1.003,1.501,,820,658,982,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In a multigenerational household,Females,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In other living arrangements,Females,3.31,2.349,4.272,,250,,3255,7.6,5.6,9.7,,7.2,5.3,9.2,,5.054,3.103,7.006,,69.792,60.696,78.888,,6.99,4.349,9.632,,0.265,0.164,0.366,,174,107,240,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,In couple census family with children [reference],Females,1,,,,995,,45230,2.2,1.9,2.5,,2.2,1.9,2.5,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Living arrangement,Missing,Females,20.179,9.252,31.106,,105,E,190,54.4,39.1,69.7,,44.1,20.6,67.6,,41.958,18.482,65.435,,95.044,91.768,98.321,,3.879,1.999,5.758,E,0.147,0.072,0.222,E,96,47,145,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Very remote areas,Both sexes,,,,F,-,F,15,0,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Remote areas,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Less accessible areas,Both sexes,0.66,0.553,0.767,,1155,,40805,2.8,2.4,3.3,,2.8,2.4,3.3,,-1.456,-1.957,-0.956,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Accessible area [reference],Both sexes,1,,,,3940,,91895,4.3,4,4.6,,4.3,4,4.6,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Remoteness unknown,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Less accessible areas,Males,0.674,0.547,0.801,,605,,20715,2.9,2.4,3.4,,2.9,2.4,3.4,,-1.407,-2.027,-0.787,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Accessible area [reference],Males,1,,,,2030,,47100,4.3,3.9,4.8,,4.3,3.9,4.8,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Less accessible areas,Females,0.647,0.518,0.775,,555,,20095,2.8,2.3,3.3,,2.8,2.3,3.3,,-1.506,-2.119,-0.892,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Remoteness index,Accessible area [reference],Females,1,,,,1910,,44800,4.3,3.8,4.7,,4.3,3.8,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official languages spoken by geography,Neither English nor French,Both sexes,11.173,7.301,15.045,,190,E,590,32.8,22.4,43.1,,47,31.1,63,,42.828,26.862,58.793,,91.05,87.923,94.177,,3.411,2.182,4.64,E,0.131,0.083,0.178,E,175,112,239,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official languages spoken by geography,English and French,Both sexes,1.116,0.636,1.596,,100,E,2010,4.8,2.8,6.8,,4.7,2.7,6.7,,0.487,-1.51,2.485,,10.377,-29.851,50.605,,0.194,-0.598,0.986,E,0.007,-0.023,0.038,E,10,-30,50,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,First official languages spoken by geography,French outside Quebec,Both sexes,0.504,0.39,0.619,,685,,32560,2.1,1.7,2.6,,2.1,1.7,2.6,,-2.086,-2.642,-1.531,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
